Day,Month,Year,Flowrate
1,1,1963,102.2
2,1,1963,101
3,1,1963,145.5
4,1,1963,139.5
5,1,1963,102.2
6,1,1963,87.17
7,1,1963,127.9
8,1,1963,126.8
9,1,1963,137.3
10,1,1963,128.5
11,1,1963,126.2
12,1,1963,102.2
13,1,1963,70.47
14,1,1963,95.37
15,1,1963,87.17
16,1,1963,80.37
17,1,1963,114.3
18,1,1963,95.09
19,1,1963,65.94
20,1,1963,58.58
21,1,1963,74.15
22,1,1963,86.03
23,1,1963,88.86
24,1,1963,76.98
25,1,1963,72.45
26,1,1963,62.83
27,1,1963,65.94
28,1,1963,68.49
29,1,1963,63.68
30,1,1963,62.83
31,1,1963,63.96
1,2,1963,64.81
2,2,1963,52.92
3,2,1963,52.07
4,2,1963,54.34
5,2,1963,52.07
6,2,1963,67.35
7,2,1963,80.37
8,2,1963,76.98
9,2,1963,61.41
10,2,1963,55.75
11,2,1963,52.92
12,2,1963,51.22
13,2,1963,48.39
14,2,1963,48.96
15,2,1963,52.36
16,2,1963,50.09
17,2,1963,47.83
18,2,1963,46.98
19,2,1963,45.56
20,2,1963,46.41
21,2,1963,46.7
22,2,1963,46.13
23,2,1963,46.13
24,2,1963,43.87
25,2,1963,44.43
26,2,1963,44.72
27,2,1963,45.85
28,2,1963,45
1,3,1963,43.3
2,3,1963,43.02
3,3,1963,41.6
4,3,1963,43.3
5,3,1963,126.8
6,3,1963,549
7,3,1963,707.5
8,3,1963,645.2
9,3,1963,693.4
10,3,1963,594.3
11,3,1963,399
12,3,1963,302.8
13,3,1963,259.8
14,3,1963,670.7
15,3,1963,766.9
16,3,1963,670.7
17,3,1963,611.3
18,3,1963,772.6
19,3,1963,517.9
20,3,1963,339.6
21,3,1963,275.4
22,3,1963,237.7
23,3,1963,187.3
24,3,1963,195.8
25,3,1963,273.4
26,3,1963,214.2
27,3,1963,205.2
28,3,1963,187.9
29,3,1963,211.7
30,3,1963,202.6
31,3,1963,151.4
1,4,1963,148.9
2,4,1963,153.1
3,4,1963,146.3
4,4,1963,133.9
5,4,1963,131.3
6,4,1963,116.6
7,4,1963,111.5
8,4,1963,114.1
9,4,1963,107.3
10,4,1963,105.3
11,4,1963,118
12,4,1963,112.1
13,4,1963,102.4
14,4,1963,107.5
15,4,1963,114.3
16,4,1963,112.9
17,4,1963,146
18,4,1963,229.5
19,4,1963,235.2
20,4,1963,273.4
21,4,1963,481.1
22,4,1963,396.2
23,4,1963,213.7
24,4,1963,192.2
25,4,1963,180.6
26,4,1963,172.1
27,4,1963,154.5
28,4,1963,148.6
29,4,1963,150.3
30,4,1963,141.8
1,5,1963,139.5
2,5,1963,136.1
3,5,1963,131.9
4,5,1963,105.8
5,5,1963,114.1
6,5,1963,129.6
7,5,1963,153.1
8,5,1963,248.8
9,5,1963,200.9
10,5,1963,217.3
11,5,1963,189.3
12,5,1963,208
13,5,1963,281.3
14,5,1963,277.3
15,5,1963,249.9
16,5,1963,228.7
17,5,1963,214.2
18,5,1963,207.2
19,5,1963,193.6
20,5,1963,227
21,5,1963,218.8
22,5,1963,195.8
23,5,1963,174.9
24,5,1963,170.1
25,5,1963,132.2
26,5,1963,130.7
27,5,1963,160.7
28,5,1963,129
29,5,1963,125.7
30,5,1963,112.4
31,5,1963,110.4
1,6,1963,82.07
2,6,1963,76.69
3,6,1963,86.88
4,6,1963,82.07
5,6,1963,81.22
6,6,1963,84.05
7,6,1963,78.96
8,6,1963,68.77
9,6,1963,60.85
10,6,1963,75.28
11,6,1963,69.9
12,6,1963,86.88
13,6,1963,105.3
14,6,1963,79.24
15,6,1963,62.26
16,6,1963,58.58
17,6,1963,66.79
18,6,1963,113.5
19,6,1963,119.1
20,6,1963,85.75
21,6,1963,116.6
22,6,1963,115.5
23,6,1963,103.6
24,6,1963,146
25,6,1963,132.7
26,6,1963,154.5
27,6,1963,161
28,6,1963,146
29,6,1963,102.2
30,6,1963,95.94
1,7,1963,113.5
2,7,1963,103.9
3,7,1963,130.7
4,7,1963,137.8
5,7,1963,132.7
6,7,1963,90.28
